Speaker	Utterance	Emotion	Sentiment
Phoebe	That would be great. Thank you.	neutral	neutral

Phoebe	Knock, knock, knock, knock, hi.	neutral	neutral
Phoebe	Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.	neutral	neutral
Phoebe	You didn’t say Boutros Boutros Gali.	neutral	neutral
Mischa	Boutros Boutros Gali.	neutral	neutral
Mischa	He says he was too.	neutral	neutral
Phoebe	Interesting.	neutral	neutral
Mischa	So I was wondering....	neutral	neutral
Phoebe	Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.	joy	positive
Mischa	Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun.	joy	positive
Mischa	So you're a chef?	neutral	neutral
Mischa	Oh, really.	surprise	positive
Phoebe	Monica, can I talk to you behind my menu, please.  What are you doing?	neutral	neutral

Danny	so we finally get to the top of the mountain and airhead here  forgets the camera!	disgust	negative
Joey	Oh, y'know the same thing happened to me one time.	neutral	neutral

Joey	Oh, y'know the same thing happened to me one time.	neutral	neutral
Chandler	When did that happen to you?!	surprise	negative
Joey	Don't you remember when we were jogging in the park and we saw that really pretty bird and wanted to take a picture—I didn't have my camera!	neutral	neutral
Chandler	Oh yeah. First off all, chasing the Churo guy isn't jogging.	disgust	negative
Joey	Yeah, wow, sorry Rach.	sadness	negative
Chandler	I don't believe they're brother and sister.	surprise	negative
Joey	They're brother and sister!!!	surprise	negative

Chandler	Oh yeah. First off all, chasing the Churo guy isn't jogging.	disgust	negative
Krista	Oh, this is so good  you have got to try it.	joy	positive
Krista	Here, I'll get it.	neutral	neutral
Krista	We'd better take these pants off upstairs or that stain's gonna set.	neutral	neutral

Krista	Oh, this is so good  you have got to try it.	joy	positive
Danny	Oh, damn! I got it on my pants.	anger	negative
Krista	Here, I'll get it.	neutral	neutral
Krista	We'd better take these pants off upstairs or that stain's gonna set.	neutral	neutral
Danny	Yep.  I'm gonna wear these on our date tonight.	joy	positive

Danny	Yep.  I'm gonna wear these on our date tonight.	joy	positive
Rachel	Oh, great!	surprise	positive

Rachel	Oh, great!	surprise	positive
Chandler	Okay, bye!  Oh my God!!	joy	positive

Chandler	Okay, bye!  Oh my God!!	joy	positive
Monica	That was unbelievable!	surprise	negative

Monica	That was unbelievable!	surprise	negative
Joey	Yeah, wow, sorry Rach.	sadness	negative

Richard	I found the picture!	anger	negative
Joey	What picture?!	surprise	negative
Richard	The picture of my wife! In your pack!	anger	negative
Joey	You went through my personal property?	anger	negative
Richard	Why do have a picture of Paulette in your pack?!	anger	negative
Joey	Because Vincent, we were lovers.  For two years!	anger	negative
Joey	Great scene yeah?	joy	positive
Richard	Oh you’re awesome! And, in that last speech? You soaked me.	joy	positive

Joey	Because Vincent, we were lovers.  For two years!	anger	negative
The Director	Cut! Wonderful!	joy	positive
Joey	Great scene yeah?	joy	positive

Richard	Oh you’re awesome! And, in that last speech? You soaked me.	joy	positive
The Assistant Director	Here’s your call sheet for tomorrow.	neutral	neutral

The Assistant Director	Here’s your call sheet for tomorrow.	neutral	neutral
Phoebe	I know.	neutral	neutral

Mrs. Geller	So Chandler, your parents must’ve been thrilled when you told them you were engaged.	joy	positive
Chandler	Oh yeah, I should probably call them.	neutral	neutral
Mrs. Geller	You don’t know how that happened?! Your dog thought my diaphragm was a chew toy!	disgust	negative
Chandler	What a sweet story.	neutral	neutral

Chandler	Oh yeah, I should probably call them.	neutral	neutral
Mr. Geller	I remember when we first got engaged.	joy	positive
Chandler	Oh, I don’t think I ever heard that story.	neutral	neutral
Mr. Geller	Well, I’d gotten Judy pregnant. I still don’t know how that happened.	joy	positive

Mr. Geller	Well, I’d gotten Judy pregnant. I still don’t know how that happened.	joy	positive
Mrs. Geller	You don’t know how that happened?! Your dog thought my diaphragm was a chew toy!	disgust	negative

Chandler	What a sweet story.	neutral	neutral
Monica	Well, at least you’re not hearing it for the first time at your fifth grade Halloween party.	disgust	negative
Monica	Anyway, we’re really excited about our wedding plans, and well I guess pretty soon we’ll be making a big withdrawal from the Monica wedding fund.	joy	positive
Monica	What?	surprise	negative

Monica	Well, at least you’re not hearing it for the first time at your fifth grade Halloween party.	disgust	negative
Mr. Geller	What?! They wanted a scary story!	surprise	positive
Monica	Anyway, we’re really excited about our wedding plans, and well I guess pretty soon we’ll be making a big withdrawal from the Monica wedding fund.	joy	positive
Monica	What?	surprise	negative
Monica	What happened? You still have the Monica wedding fund don’t you?	surprise	negative
Mr. Geller	We have it. Only now, we call it the beach house.	neutral	neutral

Monica	Anyway, we’re really excited about our wedding plans, and well I guess pretty soon we’ll be making a big withdrawal from the Monica wedding fund.	joy	positive
Monica	What?	surprise	negative
Mrs. Geller	You tell her Jack, I can’t do it.	fear	negative
Monica	What happened? You still have the Monica wedding fund don’t you?	surprise	negative

Phoebe	After applying the Waxine and linen strips to leg number one,	neutral	neutral
Monica	Did that!	joy	positive
Phoebe	Grasp one of the linen strips by its ‘easy grab tab’ and pull it off in one quick pain free motion.	neutral	neutral
Monica	Okay.  Ow!!!!! Ow-oh-oh!	surprise	negative
Phoebe	Was it not pain-free?	surprise	negative
Monica	No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.	disgust	negative
Phoebe	Huh, well, the girls in the satin nighties on the commercial don’t seem to think it’s that bad.	neutral	neutral
Monica	That’s because their nerves are probably deadened from being so stupid.	anger	negative
Monica	But hey, y'know if you don’t believe me, please, by my guest.	neutral	neutral
Phoebe	Ow-ow-ow-ow! Oh my God!!!	surprise	negative

Ross	Now umm, remember I’m still learning.	neutral	neutral
Ross	One, two, three, four!	neutral	neutral
Ross	You know the song! Sing along!	joy	positive
Ross	So?	neutral	neutral
Chandler	No!	sadness	negative

Phoebe	Oh my God! That’s David!	surprise	positive
Monica	David who?	neutral	neutral
Phoebe	David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!	sadness	negative

Phoebe	David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!	sadness	negative
David	Oh my God!	surprise	positive
Phoebe	Oh, you say someone’s name enough, they turn around.	neutral	neutral
David	Phoebe?	surprise	positive
Phoebe	David!  What-what are you doing here? Aren’t you supposed to be in Russia?	surprise	positive
David	Yeah, I’m just, I’m just in town for a conference. Umm,	neutral	neutral
Phoebe	Well… Yeah. You look great too. Did you get a haircut?	joy	positive
David	Yeah. Well I-I got like thirty of them.	neutral	neutral
Phoebe	Yeah.	neutral	neutral

Ross	Hey, uh, I’m really, really sorry about what happened in the cafeteria today.	sadness	negative
Joey	It’s no big deal. Hey, y’know, you do what you gotta do. Right?	neutral	neutral
Ross	But hey, it’s not just me, I mean the scientists and the tour guides	neutral	neutral

Ross	Okay, Mon, back me up here.	neutral	neutral
Ross	Where you work the uh, waiters eat with the waiters, right?	neutral	neutral
Ross	And the chefs eat with the other chefs, right?	neutral	neutral
Monica	I eat by myself in the alley because everybody hates me.	sadness	negative

Monica	I eat by myself in the alley because everybody hates me.	sadness	negative
Joey	Look, Ross, really it’s-it’s no big deal.	neutral	neutral
Joey	Y’know you wear a white coat, I wear a blue blazer, if that means we can’t be friends at work, then so be it.	sadness	negative
Joey	Y’know, hey I understand.	neutral	neutral
Joey	Y’know?	neutral	neutral
Joey	Hey, when I’m in a play and you’re in the audience, I don’t talk to you, right?	neutral	neutral
Joey	So it’s y’know, it’s uh, it’s cool.	neutral	neutral
Joey	I’ll see you tomorrow.	neutral	neutral

Joey	Look, Ross, really it’s-it’s no big deal.	neutral	neutral
Joey	Y’know you wear a white coat, I wear a blue blazer, if that means we can’t be friends at work, then so be it.	sadness	negative
Joey	Y’know, hey I understand.	neutral	neutral
Joey	Y’know?	neutral	neutral
Joey	Hey, when I’m in a play and you’re in the audience, I don’t talk to you, right?	neutral	neutral
Joey	So it’s y’know, it’s uh, it’s cool.	neutral	neutral
Joey	I’ll see you tomorrow.	neutral	neutral
Rachel	Yeah, when we’re in the audience he doesn’t talk to us, but he does wave.	neutral	neutral

Chandler	You did look like an idiot.	joy	positive
Joey	Hey, I wasn't the only one who looked like an idiot.	neutral	neutral
Joey	All right?	neutral	neutral
Joey	Remember when Ross tried to say, "Butternut squash?"	joy	positive
Joey	And it came out, "Squatternut buash?"	joy	positive
Chandler	Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.	neutral	neutral
Chandler	Y'know, for me anyway.	sadness	negative
Chandler	And of course, the Indians.	sadness	negative

Joey	Hey, I wasn't the only one who looked like an idiot.	neutral	neutral
Joey	All right?	neutral	neutral
Joey	Remember when Ross tried to say, "Butternut squash?"	joy	positive
Joey	And it came out, "Squatternut buash?"	joy	positive
Ross	Yeah that's the same.	neutral	neutral

Ross	Yeah that's the same.	neutral	neutral
Monica	That's it. That's my worse Thanksgiving.	sadness	negative

Monica	That's it. That's my worse Thanksgiving.	sadness	negative
Phoebe	Oh wait! That can't be the one Rachel's talking about. She didn't even know that happened. So which one was it?	neutral	neutral
Monica	Umm, I-I really don't want to tell this story.	sadness	negative

Monica	Umm, I-I really don't want to tell this story.	sadness	negative
Chandler	Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about.	neutral	neutral
Chandler	Y'know, for me anyway.	sadness	negative
Chandler	And of course, the Indians.	sadness	negative
Monica	Look umm, of all people, you do not want me to tell this story!	anger	negative

Phoebe	Hi, guys.	neutral	neutral
Rachel	Hi! Phoebe.	joy	positive
Phoebe	I-I wanted to apologise if I—y’know seemed a tad edgy yesterday at my shower. Y’know it’s just the hormones, y’know.	sadness	negative
Rachel	No we	neutral	neutral

Rachel	Hi! Phoebe.	joy	positive
Monica	Hi Phoebe.	neutral	neutral
Rachel	No we	neutral	neutral
Monica	Hormones.	neutral	neutral
Rachel	hormones, yeah.	neutral	neutral

Monica	Hi Phoebe.	neutral	neutral
Phoebe	I-I wanted to apologise if I—y’know seemed a tad edgy yesterday at my shower. Y’know it’s just the hormones, y’know.	sadness	negative

Rachel	Your parents’?	neutral	neutral
Joshua	Yeah, they’re out of town.	neutral	neutral
Rachel	Ohh.	surprise	positive
Joshua	Yeah-yeah, it’s this	neutral	neutral
Rachel	Yeah that works.	neutral	neutral
Joshua	They-they-they can smell fear.	fear	negative

Doug	Bing! Ho! And the Bing-ette!	joy	positive
Chandler	Honey, you remember my boss Doug right?	neutral	neutral
Doug	Hi. So good news, the divorce is final. I signed the papers this A.M.	joy	positive
Chandler	I didn’t know you and Carol were getting divorced, I’m sorry.	sadness	negative
Doug	Sorry? Finally chewed my leg out of that bear trap. Hey, congratulations to you guys though!	joy	positive
Doug	Oh well, give it time.	neutral	neutral
Doug	So the divorce, the marriage, we’ve got a lot to celebrate.	joy	positive
Doug	How about we all go out to dinner tomorrow night?	neutral	neutral
Doug	Tomorrow night it is then, I should be out of court by six.	joy	positive
Doug	They keep throwing these sexual harassment cases at me and I keep knocking them out of the park!	joy	positive

Chandler	Honey, you remember my boss Doug right?	neutral	neutral
Monica	Yes, hi.	neutral	neutral
Monica	Okay, I’ll see you tomorrow!	joy	positive
Monica	Just so you know, we’re not seeing him tomorrow.	neutral	neutral
Monica	I-I cannot spend another evening with that man.	disgust	negative
Monica	Do you remember how he behaved at our wedding?	disgust	negative
Chandler	No.	neutral	neutral
Monica	That’s because he wasn’t invited because of the way he behaved at our engagement party.	disgust	negative
Chandler	Oh yeah. Boy, urine cuts	disgust	negative

Monica	Yes, hi.	neutral	neutral
Doug	Hi. So good news, the divorce is final. I signed the papers this A.M.	joy	positive
Doug	Sorry? Finally chewed my leg out of that bear trap. Hey, congratulations to you guys though!	joy	positive
Monica	No leg-chewing for us sir.	neutral	neutral
Doug	Oh well, give it time.	neutral	neutral
Doug	So the divorce, the marriage, we’ve got a lot to celebrate.	joy	positive
Doug	How about we all go out to dinner tomorrow night?	neutral	neutral
Doug	Tomorrow night it is then, I should be out of court by six.	joy	positive
Doug	They keep throwing these sexual harassment cases at me and I keep knocking them out of the park!	joy	positive
Monica	Okay, I’ll see you tomorrow!	joy	positive
Monica	Just so you know, we’re not seeing him tomorrow.	neutral	neutral
Monica	I-I cannot spend another evening with that man.	disgust	negative
Monica	Do you remember how he behaved at our wedding?	disgust	negative

Emeril	Now maybe you just like wanna but the whole duck in there! Who cares, y'know? Now I got the legs	neutral	neutral
Chandler	How many times have I told you guys, you	neutral	neutral
Chandler	Expect it in 4-6 weeks.	neutral	neutral
Chandler	Umm, hey, umm, Joey's gonna be at the telethon for the rest of the day, we have the whole place to ourselves.	neutral	neutral

Chandler	How many times have I told you guys, you	neutral	neutral
Monica	Hi Chandler.	neutral	neutral
Chandler	Hey!	neutral	neutral
Monica	Uh, listen, I need that broiling pan that Joey borrowed the other day.	neutral	neutral
Chandler	Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.	sadness	negative
Monica	William Sonoma	neutral	neutral
Chandler	Expect it in 4-6 weeks.	neutral	neutral
Chandler	Umm, hey, umm, Joey's gonna be at the telethon for the rest of the day, we have the whole place to ourselves.	neutral	neutral
Monica	Yeah, so?	neutral	neutral
Chandler	Well I just, thought maybe you'd wanna book some time with the best you'd ever had.	neutral	neutral
Monica	Y'know what, champ? I think I'll pass.	neutral	neutral
Chandler	Why?	surprise	positive
Monica	Why?	neutral	neutral
Chandler	What's your point?	neutral	neutral

Joey	So uh, what’s your name?	neutral	neutral
Man	It's Jake.	neutral	neutral
Joey	Joey.  Hey Jake, do you like the Knicks?	neutral	neutral

Joey	Joey.  Hey Jake, do you like the Knicks?	neutral	neutral
Jake	Yeah, big fan.	neutral	neutral
Joey	Me too! There’s a game on Tuesday, do you wanna go?	joy	positive
Jake	Yeah that would be great! Let me make sure I’m not doing anything Tuesday.	joy	positive

Carol	Ugh.  Ross!	disgust	negative
Ross	Hi! Sorry I’m late. Were you sleeping?	neutral	neutral
Carol	Ahh, nooo!!	joy	positive
Ross	Oh, great!	joy	positive
Ross	Listen, oh I had to get you a whole new battery.	neutral	neutral
Ross	I got you the best one I could, ‘cause that’s not where you want to skimp.	neutral	neutral
Carol	You’re a genius, Ross.	joy	positive
Ross	Yeah, well it came to about $112, but what the hell, just call it an even 110?	neutral	neutral
Carol	Okay, I’ll pay you tomorrow.	neutral	neutral
Ross	So they ah, they all took off, it was pretty hard watching them go, y'know?	sadness	negative
Carol	Yeah, okay, bye.	neutral	neutral
Ross	So I’m gonna take off then!	neutral	neutral

Rachel	Hey! Oh right, tonight was your party.	surprise	positive
Danny	Oh wow, you look great! Glad you could make it.	joy	positive
Rachel	Oh well, y'know, the gala had to end sometime.	neutral	neutral
Danny	Don't go anywhere, I'll be right back.	neutral	neutral
Rachel	Yeah, sure.  All right, whose court is the ball in now?	neutral	neutral
Rachel	Oh, come on! He's glad that I came, he doesn't want me to go anywhere, balls flying all over the place!	neutral	neutral
Danny	Rachel, this is my friend Tom.	neutral	neutral
Rachel	Oh, go on! You telling people about me?	surprise	positive
Danny	You two could really hit it off! I'm gonna go mingle.	joy	positive
Rachel	Yeah, yeah, you go talk to your friend. You tell him, "Nice try."	disgust	negative
Rachel	Man! He just keeps lobbing them up and I just keep knocking them right out of the park!	joy	positive

Rachel	Yeah, sure.  All right, whose court is the ball in now?	neutral	neutral
Monica	I thought there wasn't a ball?	neutral	neutral
Rachel	Oh, come on! He's glad that I came, he doesn't want me to go anywhere, balls flying all over the place!	neutral	neutral
Rachel	Yeah, yeah, you go talk to your friend. You tell him, "Nice try."	disgust	negative
Rachel	Man! He just keeps lobbing them up and I just keep knocking them right out of the park!	joy	positive
Monica	I think I need a drink.	neutral	neutral
Rachel	Yeah!	joy	positive

Danny	You two could really hit it off! I'm gonna go mingle.	joy	positive
Tom	So you work at	neutral	neutral

Tom	So you work at	neutral	neutral
Rachel	Yeah, okay, at ease solider!	neutral	neutral
Tom	I'm sorry?	surprise	negative
Rachel	No, it's all right, you can just drop the act Tommy.	neutral	neutral
Tom	I'm gonna go talk to uh, a friend.	sadness	negative
Rachel	Yeah, yeah, you go talk to your friend. You tell him, "Nice try."	disgust	negative
Rachel	Man! He just keeps lobbing them up and I just keep knocking them right out of the park!	joy	positive

Phoebe	No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!	anger	negative
Joey	Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again.	sadness	negative
Joey	And-and I promise, I won't touch a guitar until you say I'm ready.	neutral	neutral
Joey	You really think I'm ready?	surprise	positive
Phoebe	Uh-huh!	joy	positive
Joey	Wow! Cool!	joy	positive
Joey	Was the chord at least right	neutral	neutral
Phoebe	No!	anger	negative

Jill	Well, this has been fun.	neutral	neutral
Chandler	Yes. Yes, thanks for letting me use your phone... and for saving my life.	joy	positive
Jill	Well, goodbye Chandler. I had a great blackout.  See ya.	neutral	neutral
Chandler	Hi, um, I'm account number 7143457.	neutral	neutral
Chandler	And, uh, I don't know if you got any of that, but I would really like a copy of the tape.	neutral	neutral

Lecturer	We’re beginning to see a lot of layering of sheer fabrics and colours. For instance a sheer navy blouse over a pink....	neutral	neutral
Ross	I’m really glad we came.  You’re so pretty. I love you.	joy	positive

Ross	Okay, that’s a fire. Oh yeah. Oh yeah.	neutral	neutral
Rachel	Excuse me, I’m sorry, I’m gonna have to call you back, I’ve got a Schemp in my office.	neutral	neutral
Rachel	What are you doing?	neutral	neutral
Ross	I’m sorry.	neutral	neutral
Ross	But ah, hey, oh, somebody’s off the phone, how ‘bout a glass of wine by the fire, I could get it going again.	neutral	neutral
Rachel	Ross you’re not listening to me, I don’t have time to stop.	neutral	neutral
Ross	Come on Rach, you don’t have what, ten minutes?	neutral	neutral
Rachel	I don’t have ten minutes!!	anger	negative
Ross	What?  Sophie, does she have ten minutes?	neutral	neutral
Rachel	Hey, Ross!!! I told you I don’t!	anger	negative
Ross	Don’t yell at me okay, this is the most I’ve seen you all week.	sadness	negative
Rachel	Look, I cannot do this right now, okay, I’ve got a deadline, would you just go home, I’ll talk to you later.	neutral	neutral
Ross	Yeah, but wait...	neutral	neutral
Rachel	Good bye!	neutral	neutral

Rachel	Excuse me, I’m sorry, I’m gonna have to call you back, I’ve got a Schemp in my office.	neutral	neutral
Rachel	What are you doing?	neutral	neutral
Rachel	Good bye!	neutral	neutral
Sophie	Actually, that’s our three hole punch.	neutral	neutral

Monica	Oh yeah? When?	surprise	negative
Chandler	I'll tell you what.	neutral	neutral
Chandler	When we're 40, if neither one of us are married, what do you say you and I get together and have one?	neutral	neutral
Monica	Why won't I be married when I'm 40?	surprise	negative
Chandler	Oh, no, no. I just meant hypothetically.	neutral	neutral
Monica	Ok, hypothetically, why won't I be married when I'm 40?	anger	negative
Chandler	No, no, no.	neutral	neutral
Monica	What is it? Is there something fundamentally unmarriable about me?	anger	negative
Chandler	Uh, uh.	neutral	neutral
Monica	Well?	surprise	negative
Chandler	Dear God! This parachute is a knapsack!	surprise	negative

Chandler	I'll tell you what.	neutral	neutral
Chandler	When we're 40, if neither one of us are married, what do you say you and I get together and have one?	neutral	neutral
Chandler	Dear God! This parachute is a knapsack!	surprise	negative
Rachel	Hey.	neutral	neutral
Rachel	Well, where is he? He is supposed to be here.  What if the baby needs him?	surprise	negative
Chandler	Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?	neutral	neutral
Rachel	Yeah, why?	neutral	neutral
Chandler	No reason.	neutral	neutral

Rachel	Hey.	neutral	neutral
Phoebe	Hey. Ooh, look at you, dressy-dress.	surprise	positive

Phoebe	Hey. Ooh, look at you, dressy-dress.	surprise	positive
Monica	Did you go home and change?	surprise	negative

Monica	Did you go home and change?	surprise	negative
Rachel	Yeah, well, it's an important day. I wanna look nice. Um, has uh Dr. Franzblau been by?	neutral	neutral
Monica	No, I haven't seen him.	neutral	neutral
Rachel	Well, where is he? He is supposed to be here.  What if the baby needs him?	surprise	negative

Ross	I'm the holiday armadillo! I'm a friend of Santa's and he sent me here to wish you  a Merry Christmas!	joy	positive
Monica	What happened to Santa, Holiday Armadillo?	surprise	negative

The Woman	Yes! Yes! Please, just give it to me!	joy	positive
Chandler	Yeah, that’s her.	neutral	neutral
The Woman	Thank you.	neutral	neutral
Chandler	Y’know what would work?	neutral	neutral
Chandler	Stop making candy!	anger	negative
Chandler	You mean they like you.	neutral	neutral

The Woman	Thank you.	neutral	neutral
Monica	It’s unbelievable! I-I can’t believe that sign didn’t work!	surprise	negative

Monica	It’s unbelievable! I-I can’t believe that sign didn’t work!	surprise	negative
Chandler	Y’know what would work?	neutral	neutral
Chandler	Stop making candy!	anger	negative
Chandler	You mean they like you.	neutral	neutral
Monica	Maybe.	neutral	neutral
Chandler	Is that why you became a chef? So that people would like you?	surprise	negative
Monica	Oh, you really want to talk about getting people to like you huh, funny man?	anger	negative

Monica	We were on the platform, ready to dance the world into the new Millennium, and the guy yelled ‘CUT!’	anger	negative
Rachel	Uh, wait, so you guys are telling me you actually did the routine from eighth grade?	surprise	negative
Monica	Yeah. But of course we had to update it a little bit.  Hey, by the way, great thinking about catching me!	joy	positive
Rachel	‘Cos I was gonna say there’s no way you could’ve done the end the way you guys did it back then!	joy	positive
Monica	What? We could do it!	surprise	negative

Monica	What? We could do it!	surprise	negative
Ross	I don’t know, I mean you were a lot bigger, I mean, stronger back then.	joy	positive
Monica	I can do it, okay? Come on, let’s go.	neutral	neutral

Monica	I can do it, okay? Come on, let’s go.	neutral	neutral
Monica and Ross	1, 2, 3, 4, 5, 6, 7, 8	neutral	neutral
Monica	I can’t do it!	sadness	negative

Monica	I can’t do it!	sadness	negative
Chandler	Now you do that, you’re on TV.	neutral	neutral

Joey	Hey!	joy	positive
The Vendor	So, what are you guys in the market for? We’ve got uh, scarves, tulip post cards...	neutral	neutral
Joey	Check this out? Huh?  Yeah. That’s the stuff. What do you think?	neutral	neutral
Joey	Oh yeah?  If you’re gonna make me choose between you and the hat? I choose the hat.	neutral	neutral
The Vendor	Good choice.	anger	negative
Joey	Thanks.	joy	positive

Joey	Check this out? Huh?  Yeah. That’s the stuff. What do you think?	neutral	neutral
Chandler	Well, I don’t have to buy that, "I’m with stupid" T-shirt anymore.	neutral	neutral
Joey	Well, I like it. Here you go.	neutral	neutral
Chandler	All right, look, you’re not really gonna buy that are you? Don’t you think you’ve embarrassed me enough for one day?	anger	negative
Joey	Oh, I embarrass you?	surprise	negative
Chandler	How can I answer that when I’m pretending I don’t know you?	neutral	neutral
Chandler	Oh really? Then how come no one here is wearing them?	neutral	neutral
Chandler	All right, look, if you insist on wearing that, in public, y’know, you’re gonna spend the rest of the afternoon all by yourself.	disgust	negative
Joey	Oh yeah?  If you’re gonna make me choose between you and the hat? I choose the hat.	neutral	neutral
Joey	Thanks.	joy	positive
Chandler	Okay, wait. All right, that’s it, okay, I’m out of here. I am not going to be embarrassed anymore!	anger	negative

Chandler	How can I answer that when I’m pretending I don’t know you?	neutral	neutral
Chandler	Oh really? Then how come no one here is wearing them?	neutral	neutral
The Vendor	They’re all tourists.	neutral	neutral
Chandler	All right, look, if you insist on wearing that, in public, y’know, you’re gonna spend the rest of the afternoon all by yourself.	disgust	negative

Monica	So! I'm just an empty vase, huh?	surprise	negative
Julio	What?	surprise	negative
Monica	Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else.	anger	negative
Monica	And y'know what, I get excited about stupid stuff, like when I my	neutral	neutral
Julio	Whoa, whoa, whoa.	surprise	negative
Monica	You don't even know me...	anger	negative
Julio	Whoa, whoa, whoa, the poem is not about you.	surprise	negative
Monica	What?	surprise	negative
Julio	The Empty Vase is not about you. My baby, you make me so sad that you would think this.	sadness	negative
Monica	I'm sorry, my friend Phoebe...	sadness	negative
Julio	No, it's about all women. Well, all American women. You feel better now?	neutral	neutral
Monica	Oh yeah.	neutral	neutral

Ross	Okay, forward. Forward—Stop!  Okay, back—Stop!  Okay, forward—Stop! Stop! Stop!	neutral	neutral
Phoebe	Okay, here’s what we’re gonna do.	neutral	neutral
Phoebe	Okay, I’m gonna break into this mini-van and put it in neutral.	neutral	neutral
Phoebe	You guys push it forward so Ross can drive out of his spot.	neutral	neutral
Phoebe	Okay?	neutral	neutral
Phoebe	All right, here we go.	neutral	neutral
Phoebe	Haul ass!!!	neutral	neutral

Ross	So it said that by the year 2030, there'll be computers that can carry out the same number of functions as an actual human brain.	neutral	neutral
Ross	So theoretically we could download our thoughts and our memories into this computer...	neutral	neutral
Janine	...and live forever as a machine!	joy	positive
Ross	That's so Janine, you-you-you know what, do you know we're doing right now?	joy	positive
Ross	You and I, we're interfacing.	neutral	neutral
Janine	Yeah, I gotta go.	fear	negative

Janine	Yeah, I gotta go.	fear	negative
Chandler	Ba dum bumb cheshhh!	joy	positive

Monica	David, can you help me?! I'm trying to explain to Chandler how a plane stays in the air.	neutral	neutral
David	Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion.	neutral	neutral
Monica	See?	neutral	neutral

Monica	See?	neutral	neutral
Chandler	Yeah, that's the same as "it has something to do with wind".	fear	negative
Monica	Alright, I'm gonna go pick up a few things for the trip.	neutral	neutral

Monica	Alright, I'm gonna go pick up a few things for the trip.	neutral	neutral
Phoebe	Oh, I should go, too.	neutral	neutral
Phoebe	Oh, now... tomorrow do you guys wanna share a cab to the airport or should Mike and I just meet you there.	neutral	neutral

Phoebe	Oh... Mike's sister just invited me to a party tonight, he's gonna be there.	anger	negative
Phoebe	And she was like "Oh, don't worry!	sadness	negative
Phoebe	I asked him.	neutral	neutral
Phoebe	He's totally ok with seeing you!".	anger	negative
Phoebe	So now I have to go so he'll think that I'm totally ok with seeing him!	joy	positive
Rachel	Which you're not, because you've totally hung up on him!	anger	negative
Phoebe	Exactly!	neutral	neutral
Rachel	And you're gonna want him to eat his heart out so you're gonna have to look fabulous!	neutral	neutral
Phoebe	I didn't even think about that!  Aaargh,	anger	negative
Rachel	Hey Pheebs, I'm-I'm taking Charlie shopping, why don't you come and I'll help you find something.	neutral	neutral
Phoebe	Ok, that'll be great!	joy	positive

Phoebe	Oh... Mike's sister just invited me to a party tonight, he's gonna be there.	anger	negative
Phoebe	And she was like "Oh, don't worry!	sadness	negative
Phoebe	I asked him.	neutral	neutral
Phoebe	He's totally ok with seeing you!".	anger	negative
Phoebe	So now I have to go so he'll think that I'm totally ok with seeing him!	joy	positive
Phoebe	Ok, that'll be great!	joy	positive
Joey	Oh, ain't that nice? The three of you trying on slutty lingerie together.	disgust	negative

Joey	Oh, ain't that nice? The three of you trying on slutty lingerie together.	disgust	negative
Rachel	That's not what we're gonna do!	disgust	negative
Joey	Why would you ruin it, who was that hurtin'?	disgust	negative

Chandler	Julie hi! Chandler Bing, I, I guess you remember me.	joy	positive
Julie	Hello Skidmark.	neutral	neutral
Chandler	It’s a nickname, I’ll explain later.	neutral	neutral
Chandler	Ah, uh, I owe you a long overdue apology. I never should have broken up with you because you were overweight.	neutral	neutral
Julie	That’s why you broke up with me?	surprise	negative
Chandler	You-you-you didn’t know that.  Well, I guess my work here is done!	sadness	negative

Chandler	It’s a nickname, I’ll explain later.	neutral	neutral
Monica	It’s pretty clear.	neutral	neutral
Chandler	Ah, uh, I owe you a long overdue apology. I never should have broken up with you because you were overweight.	neutral	neutral

Ross	Ni-chou chi-ma!	joy	positive
Rachel	Ross! Excuse me, pardon me, excuse me....	surprise	positive

Ross	Hi everyone.	neutral	neutral
Ross	I just, I wanted to thank you for our uh, our little talk before.	neutral	neutral
Ross	Well, I was going to, but after I talked to you, I talked to Joey.	neutral	neutral
Rachel	What did, what did he say?	fear	negative
Ross	Basically he told me to get over myself and just do it, ya know.	neutral	neutral
Ross	So I though about what you said and I though about what he said and, well, his way I get to have sex tonight so.	neutral	neutral

